sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Mw,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,DA_strategy,cross_class,poly_tem,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
HTK-PU（凝胶，没有软段）,0,0.2711,1,0.8,0,1,0,,,,0,0,0,1,0,70,90,12,50,9.34,1.13,67.6
ITB-PU,0.3685,0.4677,0.6315,0.3333,0.4677,2,0,0,0,1000,0,0,0,1,1,70,80,12,50,13.21,25.27,80
PU-BDO,0.6287,0,0.3713,1,0,4,1,1,0,1000,0.5,0.3143,0.3143,0,1,65,,,50,12,533,
PU-BDO-2,0.5113,0.2329,0.4887,0.6667,0.2329,4,1,1,0,1000,0.5,0.2556,0.2556,1,1,60,120,48,50,25,440,80
FPU,0.6568,0,0.3432,1,0,3,0,0,0,1000,0.5,0.3284,0,0,1,60,,,25,12.3,546,
DA-PU-TDI-FDO-0.25,0.6203,0.1636,0.3797,0.8889,0.1636,3,0,0,0,1000,0.5,0.3102,0,1,1,60,60,48,25,12.7,412,94
DA-PU-TDI-FDO-0.5,0.5876,0.2077,0.4124,0.8,0.2077,3,0,0,0,1000,0.5,0.2938,0,1,1,60,60,48,25,14.2,356,92
DA-PU-TDI-FDO-0.75,0.5583,0.2473,0.4417,0.7273,0.2473,3,0,0,0,1000,0.5,0.2791,0,1,1,60,60,48,25,14.8,254,92
DA-PU-TDI-FDO-1,0.5317,0.2831,0.4683,0.6667,0.2831,3,0,0,0,1000,0.5,0.2658,0,1,1,60,60,48,25,15.6,162,90
FAm-DA-PU,0.6519,0.1334,0.3481,0.7273,0.0002,2,0,0,0.3704,2000,0,0,0,1,0,60,110,10,500,8.56,310,81.6
L-DAPU-1,0.579,0.2923,0.421,0.381,0,2,0,1,0.5,2000,0,0,0,1,0,60,60,16,25,3.68,820,76
L-DAPU-2,0.5875,0.2819,0.4125,0.3914,0,2,0,1,0.5,2000,0,0,0,1,0,60,60,16,25,7.2,667,79
L-DAPU-3,0.5944,0.2735,0.4056,0.4,0,2,0,1,0.5,2000,0,0,0,1,0,60,60,16,25,9.66,533,81.1
L-DAPU-4,0.588,0.2813,0.412,0.3922,0,2,0,1,0.5,2000,0,0,0,1,0,60,60,16,25,8.95,540,78
L-DAPU-5,0.5817,0.289,0.4183,0.3846,0,2,0,1,0.5,2000,0,0,0,1,0,60,60,16,25,6.07,650,73
C-DAPU-1,0.5513,0.3297,0.4487,0.3338,0,2,0,1,0.4852,2000,0,0,0,1,0,60,,,25,8.86,780,
C-DAPU-2,0.5406,0.3428,0.4594,0.3226,0,2,0,1,0.4852,2000,0,0,0,1,0,60,,,25,11.46,733,
C-DAPU-3,0.5302,0.3554,0.4698,0.3121,0,2,0,1,0.4852,2000,0,0,0,1,0,60,,,25,9.32,820,
