sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,Soft_Mw,Constraint_Factor,DA_KA,DA_KC,Has_Non_DA_Extender,cross_class,tensile_strength,elongation,healing_eff
TDI-PUR-DA3,0.7348,0.0658,0.2652,0.5714,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,1.96,352.0,0.54
TDI-PUR-DA4,0.7598,0.034,0.2402,0.6154,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,0.91,358.0,0.53
IPDI-PUA-DA1,0.6673,0.1196,0.3327,0.5,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,4.68,392.0,0.71
IPDI-PUA-DA2,0.6879,0.0924,0.3121,0.5333,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,3.23,405.0,0.67
IPDI-PUA-DA3,0.7097,0.0636,0.2903,0.5714,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,1.84,412.0,0.63
IPDI-PUA-DA4,0.733,0.0328,0.267,0.6154,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,0.88,421.0,0.61
DA-SM-PU-0,0.7573,0.0,0.2427,0.6667,0.0,2.0,0.0,1.0,0.5,1.0,0.7573,0.0,2000.0,0.0001,0.0,1.0,0.0,0.0,15.0,680.0,0.043
DA-SM-PU-1,0.7275,0.0,0.2725,0.6098,0.0,2.0,0.0,1.0,0.5,1.0,0.7275,0.0,2000.0,0.0001,0.0,1.0,0.0,1.0,17.5,905.0,0.714
DA-SM-PU-2,0.6825,0.0,0.3175,0.5333,0.0,2.0,0.0,1.0,0.5,1.0,0.6825,0.0,2000.0,0.0002,0.0,1.0,0.0,1.0,20.2,1120.0,0.748
DA-SM-PU-3,0.6607,0.0,0.3393,0.5,0.0,2.0,0.0,1.0,0.5,1.0,0.6607,0.0,2000.0,0.0002,0.0,1.0,0.0,1.0,25.1,1364.0,0.991
MPA,0.5113,0.0916,0.4887,0.75,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0005,0.0,1.0,0.0,0.0,9.65,457.52,0.7357
