Formula_Label,Source_Cell,Source_Note,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Extra_Crosslinker_Content,Furan_Type,Network_Topology,Polyol_Class,Iso_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,healing_temperature,healing_time,Nearest_Reference_ID,Nearest_Reference_Distance
Formulation 1,"1.10 配方重预测（PCL/糠醇, 主链）",按 1.10 单元格源码直接迁移。,0.5138482092389909,0.09105390267714916,0.13812239864344075,0.3480293921175685,0.9999308141021319,0.0,2,0,1,0,1000.0,0.00034802939211756853,0,1,0.0,60,24,DAG-LPU-1,4.465509316360443
Formulation 2,"1.10 新图配方自动换算并预测（PCL-糠胺, 主链）",源码给出 BMI=3.58 g（约 10 mmol）；但 1.10 历史输出曾按 15 mmol 修正到约 5.375 g，此处先按源码值。,0.5389382915656158,0.09512260846133118,0.09646995419024522,0.3645917542441391,1.000328478916692,0.0,3,0,1,0,1000.0,0.0003645917542441391,0,1,0.0,60,24,DAG-LPU-1,4.356424705015226
