Feature,MeanAbsSHAP
Soft_Mw,5.724531071448646
Soft_Cryst,5.333312455965981
Hard_Segment_Content,3.571614912504266
Soft_Segment_Content,3.4423697579039505
Iso_Class,2.4199785384885395
Furan_Type,1.2330932874465668
Hard_Symmetry,1.229047631227421
Synergy_Feature,1.2132858153004524
Furan_Content,1.1691735944706951
Polyol_Class,0.7272538336003638
Network_Topology,0.6386209662876547
Maleimide_Content,0.4797201427848953
Constraint_Factor,0.10864423062557235
NCO_OH_Ratio,0.03804474601402857
Extra_Crosslinker_Content,0.0
