Candidate_ID,Tensile,Healing,Elongation,Source,is_pareto_2d_union,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Extra_Crosslinker_Content,Furan_Type,Network_Topology,Polyol_Class,Iso_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,healing_temperature,healing_time,pred_tensile_strength,pred_elongation,pred_healing_eff,is_pareto_3obj,norm_pred_tensile_strength,norm_pred_healing_eff,norm_pred_elongation,Balance_Score,Ideal_Distance,Nearest_Reference_ID,Nearest_Reference_Distance
Virtual_02965,46.603817493338106,80.46925790777898,788.04052734375,PredictedPareto3Obj,True,0.5292004531216189,0.0,0.21107723193381664,0.31189753013739824,0.7922451988758896,0.0,0,0,0,1,2000.0,0.0001,1,1,0.5067527198098243,80,24,46.603817493338106,788.0405,80.46925790777898,True,0.9304493099924468,0.494600592912314,0.60170776,0.6755858864746928,0.6472268251952855,PU-BDO-2,4.676377039193448
Virtual_09800,48.58341290406802,67.01251400094246,914.7487182617188,PredictedPareto3Obj,True,0.5117326886900686,0.006244927600579326,0.024700250105789127,0.40762,0.485345186218503,0.0,0,0,0,1,2000.0,0.00019304818111397408,1,1,0.5416194011024728,60,48,48.58341290406802,914.7487,67.01251400094246,True,0.9772160299040383,0.21978096891110718,0.7310088,0.6426686088338184,0.8256010535537157,PU-BDO-2,5.481268507050632
Virtual_01602,47.551443004012555,78.44376761804517,694.0286865234375,PredictedPareto3Obj,True,0.5100330380776829,0.0005091623221117706,0.22072,0.30027325223679446,0.7121048378551926,0.0,0,0,0,1,2000.0,0.0001,1,1,0.5719046813293338,100,24,47.551443004012555,694.0287,78.44376761804517,True,0.9528363778743885,0.45323512711341857,0.5057721,0.6372812062626186,0.7385373644380273,PU-BDO-2,4.4266359667119755
Virtual_00737,47.78154286125475,78.19485063400646,684.79052734375,PredictedPareto3Obj,True,0.5060425421914333,0.0,0.18590185037380008,0.30868508345897533,0.7481572055020093,0.0,0,0,0,1,2000.0,0.0001,1,1,0.576549225882504,75,24,47.78154286125475,684.7905,78.19485063400646,True,0.9582723450003049,0.4481516334811826,0.4963449,0.6342562908840829,0.7482955594473395,PU-BDO-2,4.725055382679429
Virtual_10601,46.46790406612783,81.08928997707667,652.720947265625,PredictedPareto3Obj,True,0.5218004609433433,0.0,0.21181428662230006,0.3042745547855664,0.7107834266143942,0.0,0,0,0,1,1998.9991279531719,0.0001,1,1,0.46544533387734993,60,16,46.46790406612783,652.72095,81.08928997707667,True,0.9272384391508015,0.5072631642841683,0.46361905,0.63270688559959,0.7319756562800053,DA-PU-PTMG-1400,5.118453495013496
Virtual_04600,46.2660481210726,81.83122158117166,620.859619140625,PredictedPareto3Obj,True,0.5156241863255407,0.005469208301903454,0.22072,0.30780090167459784,0.7849475968675154,0.0,0,0,0,1,1977.1444189568583,0.00010192599812252053,1,1,0.4542182720689188,80,24,46.2660481210726,620.8596,81.83122158117166,True,0.9224697170201482,0.5224152223067936,0.43110573,0.6253302240815758,0.7468191474619883,PU-BDO-2,4.645132181807873
Virtual_11254,47.268448248035924,79.04247783235054,623.9653930664062,PredictedPareto3Obj,True,0.5001480679186615,0.0034811271181247796,0.22072,0.2967031405248371,0.6633929213270459,0.0,0,0,0,1,1991.6747941027638,0.00011338862641456613,1,1,0.5148625028291955,80,24,47.268448248035924,623.9654,79.04247783235054,True,0.9461508014088781,0.46546225405587993,0.43427506,0.6152960387856211,0.7801763032554073,PU-BDO-2,4.5803564890316615
Virtual_00716,49.45556903899309,66.94537418144328,813.6917114257812,PredictedPareto3Obj,True,0.49178032457549187,0.010610275722039183,0.03574333530429043,0.40762,0.4175996103209802,0.0,0,0,0,1,1958.8993950590705,0.0002104425111263195,1,1,0.5874854293948629,60,16,49.45556903899309,813.6917,66.94537418144328,True,0.9978201803582858,0.21840980958177653,0.6278838,0.6147045939545285,0.8656549244802857,DA-PU-PTMG-1400,4.880157186810337
Virtual_02043,45.581302394806535,82.40463357599471,574.5706787109375,PredictedPareto3Obj,True,0.48450713182508937,0.052245389658003585,0.21435386289558866,0.2870753330873756,0.6750037281664116,0.0,0,0,0,1,1989.1465388130514,0.0001006232722972571,1,1,0.4779203878437384,60,16,45.581302394806535,574.5707,82.40463357599471,True,0.9062930218139612,0.5341256977313124,0.38386956,0.6080960927060143,0.778098085361441,DA-PU-PTMG-1400,4.977356469316462
Virtual_10451,49.54783894731922,56.25077809877784,901.9384155273438,PredictedPareto3Obj,True,0.5053107851014798,0.0,0.0030836016162815384,0.40762,0.4481439500292808,0.0,0,0,0,1,2000.0,0.00020673512718984404,0,1,0.46361363829490465,120,48,49.54783894731922,901.9384,56.25077809877784,True,1.0,0.0,0.71793634,0.5726454456647238,1.0390187232755537,DAG-LPU-1,5.629683226757744
Virtual_09753,49.51647758095332,58.16254446199865,824.56591796875,PredictedPareto3Obj,True,0.5123745424088906,0.0,0.035709330625431523,0.40762,0.40159984363323686,0.0,0,0,0,1,1946.4571471719366,0.0002379553703278475,0,1,0.44684864116592465,80,24,49.51647758095332,824.5659,58.16254446199865,True,0.9992591070736327,0.039042945065750914,0.6389806,0.5590942263997735,1.026534947572006,MPA,4.78671328727969
Virtual_09732,28.929175953181648,93.31298426316852,519.24267578125,PredictedPareto3Obj,True,0.4411478243295251,0.07938248818871427,0.04963048833990448,0.40762,0.9617133979874753,0.0,1,0,0,0,1103.0903379667095,0.0003886522029914786,1,1,0.0,60,16,28.929175953181648,519.2427,93.31298426316852,True,0.5128968111505243,0.756900899152765,0.32740933,0.5324023457778237,0.8653004696784067,SPU1,3.9855761832120193
Virtual_06019,32.8248768681215,91.72593852063352,348.0738220214844,PredictedPareto3Obj,True,0.4709134161839417,0.11382601094373637,0.19925537256859216,0.24722206976013714,0.6163804728628763,0.0,0,0,0,0,2000.0,0.0001,1,1,0.4098425872647991,60,16,32.8248768681215,348.07382,91.72593852063352,True,0.6049303411136728,0.7244895433852971,0.15273775,0.4940525453673655,0.9745970523273938,"PU-DA-FGE-FA+1,8-BMI",5.28186644943454
