Candidate_ID,Recipe_Name,Soft_Segment,Hard_Segment,DA_Type,Soft_mmol,Soft_g,Iso_mmol,Iso_g,FDM_mmol,FDM_g,FA_mmol,FA_g,BMI_mmol,BMI_g,Solid_Total_g,X1,Furan_Content,Maleimide_Content,X3,R_Ratio,Pred_Strength,Pred_Elongation,Pred_Healing
R07,PCL2000-MDI-KC(Main),PCL2000,MDI,KC,10.0,20.0,41.34,10.345,9.28,1.188,4.64,0.456,6.96,2.494,34.483,0.58,0.048,0.072,0.3,1.0,34.45,776.1,67.78
R15,PTMG1000-IPDI-KC(Main),PTMG1000,IPDI,KC,10.0,10.0,20.17,4.483,6.18,0.792,3.1,0.304,4.64,1.663,17.241,0.58,0.064,0.096,0.26,1.0,17.03,823.2,98.3
R20,PTMG2000-IPDI-KC(Main),PTMG2000,IPDI,KC,10.0,20.0,40.33,8.966,12.37,1.585,6.19,0.607,9.28,3.325,34.483,0.58,0.064,0.096,0.26,1.0,27.86,948.5,77.41
