Feature,MeanAbsSHAP
Maleimide_Content,75.55043
Furan_Content,54.300423
Soft_Cryst,49.371616
Soft_Mw,40.179947
Soft_Segment_Content,37.30753
Hard_Segment_Content,35.39519
Furan_Type,27.012539
Iso_Class,26.86996
Synergy_Feature,19.80018
Polyol_Class,17.340666
Hard_Symmetry,15.996248
NCO_OH_Ratio,13.884918
Constraint_Factor,10.4033
Extra_Crosslinker_Content,1.1537555
Network_Topology,0.59141403
