Feature,MeanAbsSHAP,Stage
Soft_Mw,6.1423516879623685,Stage 3
Soft_Cryst,5.321844491818049,Stage 3
X3_Hard_Content,4.310463262499563,Stage 1
X1_Soft_Content,3.3133088372317565,Stage 1
Iso_Class,2.5740085973248688,Stage 2
Synergy_Feature,1.2240527375590486,Stage 3
Hard_Symmetry,1.0118176891149144,Stage 3
DA_Linker_Type,0.8079008413817597,Stage 2
