Feature,MeanAbsSHAP,Stage
X2_DA_Content,82.9485198318028,Stage 1
Soft_Cryst,62.95084518172733,Stage 3
Soft_Mw,46.36779467496966,Stage 3
X1_Soft_Content,40.38418228791303,Stage 1
X3_Hard_Content,39.96384384105153,Stage 1
DA_Linker_Type,35.555745756529134,Stage 2
Iso_Class,33.154988634597466,Stage 2
Hard_Symmetry,17.812387482077185,Stage 3
