sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Polyol_Type,Polyol_Mw_Score,DA_strategy,poly_tem,cross_class,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
DA-SM-PU-3,0.66,0.19,0.34,0.44,0.00033,2.0,1.0,1.0,1.0,75.0,0.0,60.0,12.0,50.0,25.1,1364.0,99.1
MPA,0.51,0.14,0.49,0.71,0.000256,3.0,0.0,0.0,1.0,60.0,0.0,90.0,3.0,50.0,9.65,457.52,73.57
HTK-PU（凝胶，没有软段）,0.0,0.27,1.0,0.73,0.000361,1.0,0.0,0.0,1.0,70.0,0.0,90.0,12.0,50.0,9.34,1.13,67.56
ITB-PU,0.4,0.43,0.6,0.24,0.001984,2.0,0.0,0.0,1.0,70.0,0.0,80.0,12.0,50.0,13.21,25.27,80.02
PU-BDO,0.63,0.0,0.37,1.0,0.0,4.0,1.0,0.0,0.0,65.0,0.0,80.0,12.0,50.0,12.0,533.0,0.0
PU-BDO-ANOTHER,0.51,0.23,0.49,0.5,0.001023,4.0,1.0,0.0,1.0,60.0,0.0,60.0,48.0,50.0,25.0,440.0,80.0
FPU,0.66,0.0,0.34,1.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,48.0,25.0,12.3,546.0,0.0
DA-PU-TDI-FDO-0.25,0.62,0.16,0.38,0.7,0.000775,3.0,0.0,0.0,1.0,60.0,0.0,60.0,48.0,25.0,12.7,412.0,94.0
DA-PU-TDI-FDO-0.5,0.59,0.21,0.41,0.62,0.000881,3.0,0.0,0.0,1.0,60.0,0.0,60.0,48.0,25.0,14.2,356.0,92.0
DA-PU-TDI-FDO-0.75,0.56,0.25,0.44,0.55,0.000977,3.0,0.0,0.0,1.0,60.0,0.0,60.0,48.0,25.0,14.8,254.0,92.0
DA-PU-TDI-FDO-1,0.53,0.28,0.47,0.5,0.001063,3.0,0.0,0.0,1.0,60.0,0.0,60.0,48.0,25.0,15.6,162.0,90.0
FAm-DA-PU,0.65,0.13,0.35,0.67,0.000483,2.0,0.0,0.74,1.0,60.0,0.0,110.0,0.17,500.0,8.56,310.0,81.6
L-DAPU-1,0.58,0.29,0.42,0.34,0.000362,2.0,1.0,1.0,1.0,60.0,0.0,60.0,16.0,25.0,3.68,820.0,76.0
L-DAPU-2,0.59,0.28,0.41,0.35,0.000326,2.0,1.0,1.0,1.0,60.0,0.0,60.0,16.0,25.0,7.2,667.0,79.0
L-DAPU-3,0.59,0.27,0.41,0.36,0.000297,2.0,1.0,1.0,1.0,60.0,0.0,60.0,16.0,25.0,9.66,533.0,81.1
L-DAPU-4,0.59,0.28,0.41,0.36,0.000294,2.0,1.0,1.0,1.0,60.0,0.0,60.0,16.0,25.0,8.95,540.0,78.0
L-DAPU-5,0.58,0.29,0.42,0.35,0.000291,2.0,1.0,1.0,1.0,60.0,0.0,60.0,16.0,25.0,6.07,650.0,73.0
C-DAPU-1,0.55,0.33,0.45,0.29,0.000522,2.0,1.0,0.97,1.0,60.0,0.0,60.0,16.0,25.0,8.86,780.0,
C-DAPU-2,0.54,0.34,0.46,0.28,0.000567,2.0,1.0,0.97,1.0,60.0,0.0,60.0,16.0,25.0,11.46,733.0,
C-DAPU-3,0.53,0.36,0.47,0.26,0.000609,2.0,1.0,0.97,1.0,60.0,0.0,60.0,16.0,25.0,9.32,820.0,
C-DAPU-4,0.52,0.37,0.48,0.25,0.00065,2.0,1.0,0.97,1.0,60.0,0.0,60.0,16.0,25.0,6.47,650.0,
C-DAPU-C%-1,0.54,0.34,0.46,0.28,0.000559,2.0,1.0,0.98,1.0,60.0,0.0,60.0,16.0,25.0,12.98,600.0,
