sample_id,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Extra_Crosslinker_Content,Furan_Type,Network_Topology,Add_Crosslinker_Flag,Polyol_Class,Iso_Class,Extender_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,poly_tem,strain_rate,healing_temperature,healing_time,tensile_strength,elongation,healing_eff
TDI-PUR-DA2,0.7114,0.0691,0.0956,0.1239,0.5333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,3.65,345.0,58.0
TDI-PUR-DA3,0.7348,0.0714,0.0658,0.128,0.5714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,1.96,352.0,54.0
TDI-PUR-DA4,0.7598,0.0738,0.034,0.1323,0.6154,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,0.91,358.0,53.0
IPDI-PUA-DA1,0.6673,0.0648,0.1196,0.1483,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,4.68,392.0,71.0
IPDI-PUA-DA2,0.6879,0.0668,0.0924,0.1529,0.5333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,3.23,405.0,67.0
IPDI-PUA-DA3,0.7097,0.0689,0.0636,0.1578,0.5714,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,1.84,412.0,63.0
IPDI-PUA-DA4,0.733,0.0712,0.0328,0.163,0.6154,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,0.88,421.0,61.0
DA-SM-PU-0,0.7573,0.0743,0.0,0.1684,0.6667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,1.0,0.0,75.0,50.0,120.0,1.0,15.0,680.0,
DA-SM-PU-1,0.7275,0.0714,0.0394,0.1617,0.6098,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,1.0,0.0,75.0,50.0,120.0,1.0,17.5,905.0,71.4
DA-SM-PU-2,0.6825,0.0669,0.0989,0.1517,0.5333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,1.0,0.0,75.0,50.0,120.0,1.0,20.2,1120.0,74.8
DA-SM-PU-3,0.6607,0.0648,0.1276,0.1469,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,1.0,0.0,75.0,50.0,120.0,1.0,25.1,1364.0,99.1
MPA,0.5113,0.0502,0.0916,0.347,0.75,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1000.0,0.0003,0.0,0.0,0.0,60.0,50.0,90.0,3.0,9.65,457.52,73.57
PU-BDO,0.6287,0.0,0.0,0.3713,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0004,1.0,1.0,0.6287,65.0,50.0,0.0,0.0,12.0,533.0,
PU-BDO-2,0.5113,0.0496,0.1832,0.2559,0.6667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.5113,60.0,50.0,120.0,48.0,25.0,440.0,80.0
FPU,0.6568,0.1144,0.0,0.2288,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1000.0,0.0002,0.0,1.0,0.0,60.0,25.0,0.0,0.0,12.3,546.0,
DA-PU-TDI-FDO-0.25,0.6203,0.1081,0.0556,0.2161,0.8889,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0,0.0002,0.0,1.0,0.0,60.0,25.0,60.0,48.0,12.7,412.0,94.0
DA-PU-TDI-FDO-0.5,0.5876,0.1024,0.1053,0.2047,0.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0,0.0002,0.0,1.0,0.0,60.0,25.0,60.0,48.0,14.2,356.0,92.0
DA-PU-TDI-FDO-0.75,0.5583,0.0972,0.15,0.1945,0.7273,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0,0.0002,0.0,1.0,0.0,60.0,25.0,60.0,48.0,14.8,254.0,92.0
DA-PU-TDI-FDO-1,0.5317,0.0926,0.1905,0.1852,0.6667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0,0.0002,0.0,1.0,0.0,60.0,25.0,60.0,48.0,15.6,162.0,90.0
FAm-DA-PU,0.6519,0.0469,0.0865,0.2147,0.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1662.963,0.0001,0.0,0.0,0.0,60.0,500.0,110.0,10.0,8.56,310.0,81.6
L-DAPU-1,0.579,0.1626,0.1297,0.1287,0.381,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,3.68,820.0,76.0
L-DAPU-2,0.5875,0.165,0.1168,0.1306,0.3914,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,60.0,16.0,7.2,667.0,79.0
